Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,hdop,gpgga_read,current_time.secs,current_time.nsecs
1711657097.248471,98,1711657097,241359949,,42.337493333333335,-71.083935,0.0,328324.8384173224,4689352.002753148,19,T,3.6,"$GPGGA,201817.000,4220.2496,N,07105.0361,W,1,05,3.6,7.1,M,-33.8,M,,0000*6A
",1711675096,999999761
1711657098.2598395,99,1711657098,252078294,,42.33747666666667,-71.08394,0.0,328324.3811434516,4689350.162142195,19,T,3.6,"$GPGGA,201818.000,4220.2486,N,07105.0364,W,1,05,3.6,7.3,M,-33.8,M,,0000*63
",1711675097,999999761
1711657099.2535503,100,1711657099,246477842,,42.337455,-71.083955,0.0,328323.086425096,4689347.786509413,19,T,3.6,"$GPGGA,201819.000,4220.2473,N,07105.0373,W,1,05,3.6,7.4,M,-33.8,M,,0000*69
",1711675098,999999761
1711657100.2657604,101,1711657100,258490562,,42.337426666666666,-72.75065,0.0,685302.9291206338,4689691.837677606,18,T,3.6,"$GPGGA,201820.000,4220.2456,N,07105.0390,W,1,05,3.6,7.5,M,-33.8,M,,0000*68
",1711675099,999999761
1711657101.2512157,102,1711657101,241580486,,42.33739666666666,-71.08402333333333,0.0,328317.298117991,4689341.447005856,19,T,3.5,"$GPGGA,201821.000,4220.2438,N,07105.0414,W,1,05,3.5,7.5,M,-33.8,M,,0000*69
",1711675100,999999761
1711657102.2651527,103,1711657102,258586406,,42.337363333333336,-71.08407333333334,0.0,328313.0882096018,4689337.846548413,19,T,3.5,"$GPGGA,201822.000,4220.2418,N,07105.0444,W,1,05,3.5,7.6,M,-33.8,M,,0000*6E
",1711675101,999999523
1711657103.2547588,104,1711657103,247543096,,112.33733333333333,-71.08413,0.0,0.0,0.0,0,,3.5,"$GPGGA,201823.000,4220.2400,N,07105.0478,W,1,05,3.5,7.7,M,-33.8,M,,0000*68
",1711675102,999999761
1711657104.2734187,105,1711657104,245924234,,42.33729833333334,-71.08418833333333,0.0,328303.43715631485,4689330.860999551,19,T,3.5,"$GPGGA,201824.000,4220.2379,N,07105.0513,W,1,05,3.5,7.6,M,-33.8,M,,0000*6B
",1711675103,999999046
1711657105.2851105,106,1711657105,262268066,,45.6706,-71.084245,0.0,337657.87691743765,5059562.6225284,19,T,3.5,"$GPGGA,201825.000,4220.2360,N,07105.0547,W,1,05,3.5,7.6,M,-33.8,M,,0000*63
",1711675104,999998807
1711657106.2499597,107,1711657106,242131948,,42.33723833333333,-71.08429666666666,0.0,328294.34891954775,4689324.417213047,19,T,3.5,"$GPGGA,201826.000,4220.2343,N,07105.0578,W,1,05,3.5,7.6,M,-33.8,M,,0000*6D
",1711675105,999999761
